TimeOccurred,AreaID,AreaName,ReportingDistrict,CrimeCode,CrimeCodeDescription,VictimAge,VictimSex,VictimDescent,PremiseCode,PremiseDescription,WeaponUsedCode,WeaponDescription,StatusCode,StatusDescription,Address,CrossStreet,Location
2300,1,Central,162,330,BURGLARY FROM VEHICLE,27,F,O,108,PARKING LOT,,,IC,Invest Cont,700 S  HOPE                         ST,,"34.048,-118.2577"
1350,1,Central,158,624,BATTERY - SIMPLE ASSAULT,52,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6TH,GLADYS,"34.0398, -118.2413"
1800,1,Central,156,210,ROBBERY,23,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6TH,SAN PEDRO,"34.0423,-118.2452"
1345,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,M,B,102,SIDEWALK,206,SWITCH BLADE,AA,Adult Arrest,600    SAN JULIAN                   ST,,"34.0428,-118.2461"
1345,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,F,H,102,SIDEWALK,206,SWITCH BLADE,IC,Invest Cont,600    SAN JULIAN                   ST,,"34.0428,-118.2461"
1630,1,Central,163,210,ROBBERY,40,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,9TH                          ST,HILL                         ST,"34.043,-118.2571"
1830,2,Rampart,236,956,"LETTERS, LEWD",23,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,200 S  BONNIE BRAE                  ST,,"34.0644,-118.2686"
2120,2,Rampart,246,624,BATTERY - SIMPLE ASSAULT,19,F,H,128,BUS STOP OR LAYOVER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,3RD                          ST,BONNIE BRAE                  ST,"34.0625,-118.2714"
2155,2,Rampart,247,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1800 W  5TH                          ST,,"34.0588,-118.2706"
1635,2,Rampart,217,210,ROBBERY,20,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,GLENDALE                     BL,PARK                         ST,"34.0781,-118.2605"
1530,2,Rampart,204,440,THEFT PLAIN - PETTY ($950 & UNDER,17,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,1000    SANBORN                      AV,,"34.0902,-118.2818"
1515,2,Rampart,237,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,34,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,1200 W  3RD                          ST,,"34.0565,-118.258"
100,2,Rampart,237,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,BELMONT,ROCKWOOD,"34.0644,-118.263"
1020,2,Rampart,247,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AA,Adult Arrest,500 S  BONNIE BRAE                  ST,,"34.0593,-118.2719"
1500,2,Rampart,237,330,BURGLARY FROM VEHICLE,21,F,B,101,STREET,,,IC,Invest Cont,1500    MIRAMAR                      ST,,"34.0602,-118.2628"
205,2,Rampart,233,624,BATTERY - SIMPLE ASSAULT,52,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,TEMPLE                       ST,RAMPART                      BL,"34.0726,-118.2749"
1300,2,Rampart,201,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",56,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,800    HELIOTROPE                   DR,,"34.0858,-118.295"
1130,2,Rampart,281,626,INTIMATE PARTNER - SIMPLE ASSAULT,19,F,H,505,MOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,12TH                         ST,ALVARADO                     ST,"34.0488,-118.2817"
200,2,Rampart,257,210,ROBBERY,28,M,W,102,SIDEWALK,308,STICK,IC,Invest Cont,6TH                          ST,WITMER                       ST,"34.0555,-118.2656"
1600,2,Rampart,217,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",62,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,1700    CLINTON                      ST,,"34.0721,-118.262"
300,2,Rampart,217,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",62,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,600 N  BELLEVUE                     AV,,"34.0712,-118.2627"
1700,2,Rampart,217,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,38,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,600    BELMONT                      AV,,"34.071,-118.2623"
200,2,Rampart,217,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",56,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,600    BELMONT                      AV,,"34.071,-118.2623"
200,2,Rampart,217,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",55,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,600    BELMONT                      AV,,"34.071,-118.2623"
2015,2,Rampart,211,210,ROBBERY,18,F,A,101,STREET,102,HAND GUN,IC,Invest Cont,ROSEWOOD                     AV,KENMORE                      AV,"34.079,-118.2967"
1900,2,Rampart,249,220,ATTEMPTED ROBBERY,16,M,H,102,SIDEWALK,212,BOTTLE,IC,Invest Cont,5TH                          ST,LUCAS                        AV,"34.0557,-118.2632"
2230,2,Rampart,201,210,ROBBERY,21,M,O,101,STREET,102,HAND GUN,IC,Invest Cont,KENMORE                      AV,LILY CREST                   DR,"34.088,-118.297"
5,2,Rampart,219,330,BURGLARY FROM VEHICLE,27,M,H,101,STREET,,,IC,Invest Cont,600    DOUGLAS                      ST,,"34.0683,-118.256"
1400,2,Rampart,205,440,THEFT PLAIN - PETTY ($950 & UNDER,37,F,H,402,MARKET,,,IC,Invest Cont,2800    BELLEVUE                     AV,,"34.0765,-118.275"
1930,2,Rampart,257,624,BATTERY - SIMPLE ASSAULT,42,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,500 S  UNION                        AV,,"34.0586,-118.2691"
1830,2,Rampart,237,753,DISCHARGE FIREARMS/SHOTS FIRED,,M,O,101,STREET,102,HAND GUN,IC,Invest Cont,1600 W  2ND                          ST,,"34.0613,-118.2638"
200,2,Rampart,217,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",78,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,600    BELMONT                      AV,,"34.071,-118.2623"
1215,3,Southwest,353,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",30,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,3600    SOMERSET                     DR,,"34.0222,-118.3373"
845,3,Southwest,379,946,OTHER MISCELLANEOUS CRIME,,M,B,101,STREET,,,AA,Adult Arrest,KANSAS,MARTIN LUTHER KING JR        BL,"34.0109,-118.2933"
245,3,Southwest,356,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1400 W  35TH                         ST,,"34.0246,-118.3002"
30,3,Southwest,357,220,ATTEMPTED ROBBERY,38,M,H,101,STREET,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,NORMANDIE,AVENUE 37,"34.0219,-118.2959"
1510,3,Southwest,361,510,VEHICLE - STOLEN,10,,,707,GARAGE/CARPORT,,,IC,Invest Cont,3800    GIBRALTAR                    AV,,"34.0173,-118.3547"
400,3,Southwest,336,624,BATTERY - SIMPLE ASSAULT,47,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,2100 W  29TH                         ST,,"34.0291,-118.312"
1100,3,Southwest,355,310,BURGLARY,47,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,2000 W  35TH                         PL,,"34.0237,-118.3156"
1730,3,Southwest,375,310,BURGLARY,63,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,3900 S  SAINT ANDREWS                PL,,"34.0147,-118.3111"
2000,3,Southwest,361,310,BURGLARY,46,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,3900    GIBRALTAR                    AV,,"34.0161,-118.3547"
1330,3,Southwest,376,761,BRANDISH WEAPON,35,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,3900    LA SALLE                     AV,,"34.0146,-118.3057"
1645,3,Southwest,334,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,10,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,3000 S  NORTON                       AV,,"34.0276,-118.3327"
145,3,Southwest,379,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1100    BROWNING                     BL,,"34.0121,-118.2945"
2330,3,Southwest,315,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,43,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",511,VERBAL THREAT,AA,Adult Arrest,2000 W  ADAMS                        BL,,"34.0327,-118.309"
2330,3,Southwest,398,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,60,M,B,101,STREET,,,IC,Invest Cont,600 W  43RD                         ST,,"34.0054,-118.2842"
1100,3,Southwest,327,310,BURGLARY,21,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1200 W  ADAMS                        BL,,"34.0328,-118.2864"
230,4,Hollenbeck,464,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",37,M,H,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,200 S  SOTO                         ST,,"34.0422, -118.2107"
1600,4,Hollenbeck,413,330,BURGLARY FROM VEHICLE,23,M,H,108,PARKING LOT,,,IC,Invest Cont,3200    PASADENA                     AV,,"34.0825,-118.2139"
30,4,Hollenbeck,416,624,BATTERY - SIMPLE ASSAULT,55,F,A,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,2400    GATES                        ST,,"34.0738,-118.2065"
2200,4,Hollenbeck,453,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",21,M,H,104,DRIVEWAY,,,IC,Invest Cont,100 N  BOYLE                        AV,,"34.053,-118.216"
1300,4,Hollenbeck,428,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,10,,,101,STREET,,,IC,Invest Cont,3000    CHADWICK                     DR,,"34.0803,-118.1744"
500,4,Hollenbeck,443,624,BATTERY - SIMPLE ASSAULT,22,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,SOTO,MARENGO,"34.0546,-118.2028"
1600,5,Harbor,564,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,,X,X,101,STREET,,,IC,Invest Cont,300 S  CENTRE                       ST,,"33.7415,-118.2835"
1500,5,Harbor,515,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,35,M,A,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,1600 N  AVALON                       BL,,"33.7954,-118.2636"
350,5,Harbor,563,626,INTIMATE PARTNER - SIMPLE ASSAULT,38,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",212,BOTTLE,AO,Adult Other,700 W  13TH                         ST,,"33.7324,-118.2924"
2000,5,Harbor,563,330,BURGLARY FROM VEHICLE,34,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,1000 W  9TH                          ST,,"33.7361,-118.299"
1830,5,Harbor,519,310,BURGLARY,34,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1300 E  COLON                        ST,,"33.7917,-118.2482"
1830,5,Harbor,529,310,BURGLARY,51,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,900    MCFARLAND                    AV,,"33.7819,-118.2526"
1100,5,Harbor,503,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",48,M,W,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE,,,IC,Invest Cont,25400    VERMONT                      AV,,"33.7937,-118.2909"
2200,5,Harbor,585,330,BURGLARY FROM VEHICLE,23,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,2300 S  GRAND                        AV,,"33.7234,-118.2902"
2230,5,Harbor,551,330,BURGLARY FROM VEHICLE,28,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,200 N  WESTERN                      AV,,"33.7446,-118.3097"
1700,5,Harbor,506,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,1500 W  CARSON                       ST,,"33.8315, -118.3038"
210,5,Harbor,526,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",218,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,800 N  NEPTUNE                      AV,,"33.7797,-118.2687"
120,5,Harbor,531,624,BATTERY - SIMPLE ASSAULT,43,M,H,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1500 W  259TH                        ST,,"33.7882,-118.3027"
120,5,Harbor,531,624,BATTERY - SIMPLE ASSAULT,52,M,W,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,1500 W  259TH                        ST,,"33.7882,-118.3027"
830,5,Harbor,519,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,F,H,104,DRIVEWAY,212,BOTTLE,AO,Adult Other,1600 E  COLON                        ST,,"33.7921,-118.2434"
100,5,Harbor,531,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",33,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,26200    GOVERNOR                     AV,,"33.7852,-118.3076"
1345,5,Harbor,567,440,THEFT PLAIN - PETTY ($950 & UNDER,24,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,2300 S  PACIFIC                      AV,,"33.7234,-118.288"
1450,5,Harbor,561,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",43,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,1400 W  8TH                          ST,,"33.737,-118.3077"
250,5,Harbor,509,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",10,M,O,408,AUTO SUPPLY STORE*,,,IC,Invest Cont,24800 S  WESTERN                      AV,,"33.7995,-118.3073"
210,5,Harbor,526,624,BATTERY - SIMPLE ASSAULT,57,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AA,Adult Arrest,800 N  NEPTUNE                      AV,,"33.7797,-118.2687"
1000,5,Harbor,528,626,INTIMATE PARTNER - SIMPLE ASSAULT,47,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1000    FLINT                        AV,,"33.7837,-118.2498"
2000,5,Harbor,506,888,TRESPASSING,45,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,1500 W  221ST                        ST,,"33.8268,-118.3038"
1500,5,Harbor,566,121,"RAPE, FORCIBLE",46,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,9TH,PACIFIC,"33.7361,-118.2879"
750,6,Hollywood,643,946,OTHER MISCELLANEOUS CRIME,38,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1500 N  DETROIT                      ST,,"34.098,-118.3456"
830,6,Hollywood,643,624,BATTERY - SIMPLE ASSAULT,29,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,1500 N  DETROIT                      ST,,"34.098,-118.3456"
30,6,Hollywood,628,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AA,Adult Arrest,2000 N  ARGYLE                       AV,,"34.1068,-118.3252"
1200,6,Hollywood,678,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,5000    LEMON GROVE                  AV,,"34.0863,-118.3051"
1200,6,Hollywood,639,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,HOLLYWOOD,HOBART,"34.1018,-118.3056"
1720,6,Hollywood,639,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,1700    WINONA                       BL,,"34.1018,-118.302"
1235,6,Hollywood,646,440,THEFT PLAIN - PETTY ($950 & UNDER,,M,O,404,DEPARTMENT STORE,,,AA,Adult Arrest,6700 W  SUNSET                       BL,,"34.098,-118.3365"
950,6,Hollywood,637,330,BURGLARY FROM VEHICLE,39,F,A,108,PARKING LOT,,,IC,Invest Cont,1700 N  GOWER                        ST,,"34.1017,-118.3224"
2145,6,Hollywood,646,330,BURGLARY FROM VEHICLE,30,M,W,101,STREET,,,IC,Invest Cont,YUCCA                        ST,LAS PALMAS                   AV,"34.1032,-118.3361"
300,6,Hollywood,668,624,BATTERY - SIMPLE ASSAULT,57,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AO,Adult Other,5500    LA MIRADA                    AV,,"34.0938,-118.3103"
330,6,Hollywood,646,946,OTHER MISCELLANEOUS CRIME,35,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,1600 N  IVAR                         AV,,"34.0998,-118.3282"
1900,6,Hollywood,666,753,DISCHARGE FIREARMS/SHOTS FIRED,,M,O,101,STREET,102,HAND GUN,AA,Adult Arrest,6100    AFTON                        PL,,"34.0953,-118.3223"
2345,6,Hollywood,636,626,INTIMATE PARTNER - SIMPLE ASSAULT,36,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6500    YUCCA                        ST,,"34.1039,-118.3311"
2140,6,Hollywood,646,624,BATTERY - SIMPLE ASSAULT,43,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,CAHUENGA                     BL,HOLLYWOOD                    BL,"34.1016,-118.3295"
2140,6,Hollywood,646,624,BATTERY - SIMPLE ASSAULT,39,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,CAHUENGA                     BL,HOLLYWOOD                    BL,"34.1016,-118.3295"
2330,7,Wilshire,765,626,INTIMATE PARTNER - SIMPLE ASSAULT,45,F,B,218,BEAUTY/BARBER SHOP,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AA,Adult Arrest,1400 S  REDONDO                      BL,,"34.048,-118.3493"
1630,7,Wilshire,733,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,10,,,108,PARKING LOT,,,IC,Invest Cont,5700 W  6TH                          ST,,"34.0649,-118.3525"
329,7,Wilshire,722,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",29,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,8300 W  3RD                          ST,,"34.0727,-118.37"
2235,8,West LA,841,946,OTHER MISCELLANEOUS CRIME,26,M,W,101,STREET,,,AA,Adult Arrest,BUNDY                        DR,WILSHIRE                     BL,"34.0429,-118.4661"
300,8,West LA,832,510,VEHICLE - STOLEN,10,,,103,ALLEY,,,IC,Invest Cont,11800    GOSHEN                       AV,,"34.0491,-118.4633"
1800,8,West LA,828,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,900    HILGARD                      AV,,"34.0641,-118.4411"
1000,8,West LA,882,310,BURGLARY,32,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,1900    BELOIT                       AV,,"34.0431,-118.444"
1700,8,West LA,849,330,BURGLARY FROM VEHICLE,36,M,H,108,PARKING LOT,,,IC,Invest Cont,1200 S  SHERBOURNE                   DR,,"34.0552,-118.3794"
200,8,West LA,899,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,42,M,A,707,GARAGE/CARPORT,,,IC,Invest Cont,2600 S  GARTH                        AV,,"34.0366,-118.3807"
45,8,West LA,847,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,61,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,10300    ALMAYO                       AV,,"34.0488,-118.4149"
1300,8,West LA,817,440,THEFT PLAIN - PETTY ($950 & UNDER,71,F,W,402,MARKET,,,IC,Invest Cont,10800    WEYBURN                      AV,,"34.0619,-118.4422"
1200,8,West LA,829,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,53,F,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,10300    SANTA MONICA                 BL,,"34.0623,-118.4174"
1640,8,West LA,896,624,BATTERY - SIMPLE ASSAULT,43,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",AA,Adult Arrest,9800    NATIONAL                     BL,,"34.0314,-118.3998"
1845,8,West LA,882,900,VIOLATION OF COURT ORDER,47,M,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,11300    MISSISSIPPI                  AV,,"34.0396,-118.4425"
1200,8,West LA,836,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER,53,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",,,IC,Invest Cont,10400    SANTA MONICA                 BL,,"34.0578,-118.4232"
530,9,Van Nuys,969,310,BURGLARY,52,M,A,402,MARKET,,,IC,Invest Cont,12900    MAGNOLIA                     BL,,"34.1649,-118.4137"
515,9,Van Nuys,937,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",34,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,6200    COSTELLO                     AV,,"34.1827,-118.4377"
100,9,Van Nuys,929,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,6500    NAGLE                        AV,,"34.189,-118.4236"
2000,9,Van Nuys,935,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",21,M,W,101,STREET,,,IC,Invest Cont,14100    ERWIN                        ST,,"34.1837,-118.44"
1900,9,Van Nuys,938,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER,10,,,707,GARAGE/CARPORT,,,IC,Invest Cont,13300    OXNARD                       ST,,"34.1794,-118.4225"
2200,9,Van Nuys,981,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,4300 N  SEPULVEDA                    BL,,"34.1485,-118.4692"
1550,9,Van Nuys,932,624,BATTERY - SIMPLE ASSAULT,28,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6200    SEPULVEDA                    BL,,"34.183,-118.4662"
1620,9,Van Nuys,946,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,5600    WOODMAN                      AV,,"34.1722,-118.4312"
